date,algo_nav,kospi200_nav
2015-09-02,1.0,1.0
2015-09-03,0.9946034117603143,1.0021312687573398
2015-09-04,0.9881447410383369,0.9912574485668306
2015-09-07,0.9904989776071266,0.9886912270018703
2015-09-08,0.9984607568544308,0.990648514636162
2015-09-09,1.0502343552982976,1.0195293810621548
2015-09-10,1.0792237603929857,1.0316210691140013
2015-09-11,1.0872773108660228,1.0166586925318604
2015-09-14,1.0681588479655484,1.0137010134400417
2015-09-15,1.0756041443595,1.0160062633204296
2015-09-16,1.101577707056627,1.038580314035927
2015-09-17,1.0951550551880185,1.0407985733547909
2015-09-18,1.093980462159771,1.0487582097342438
2015-09-21,1.0697832231130255,1.0296202861989474
2015-09-22,1.079106488486909,1.0381453612283067
2015-09-23,1.0387451664715237,1.018920447131486
2015-09-24,1.0428394552111682,1.018920447131486
2015-09-25,1.0485326398760273,1.0168761689356705
2015-09-28,1.0485326398760273,1.0168761689356705
2015-09-29,1.0485326398760273,1.0168761689356705
2015-09-30,1.03717767085754,1.0295767909181854
2015-10-01,1.060033942487529,1.0378843895437344
2015-10-02,1.049487974597897,1.0314905832717152
2015-10-05,1.0431918897559438,1.035100691574964
2015-10-06,1.035102772966089,1.0446696533426123
2015-10-07,1.0466506812777467,1.0591970771171328
2015-10-08,1.0577587777008737,1.070070897307642
2015-10-12,1.0924557029330777,1.072115175503458
2015-10-13,1.0992024427586393,1.0701578878691662
2015-10-14,1.0743208550444376,1.0653734069853422
2015-10-15,1.0907495515565993,1.0782045148101431
2015-10-16,1.0813794563719403,1.0759427602105172
2015-10-19,1.0797957223135433,1.0763777130181376
2015-10-20,1.0740664431449203,1.0809882127789134
2015-10-21,1.1050147180070093,1.0841198729937802
2015-10-22,1.080315883308352,1.0752903309990867
2015-10-23,1.0903853600879356,1.0848157974859727
2015-10-26,1.1142893193785144,1.0889478491583664
2015-10-27,1.1117214784463088,1.087556000173981
2015-10-28,1.100863671737035,1.0864686181549301
2015-10-29,1.0781618758667701,1.082728024009395
2015-10-30,1.0743707694244102,1.0848157974859727
2015-11-02,1.0397166022915727,1.089991735896655
2015-11-03,1.0856546489009342,1.0966030185724849
2015-11-04,1.084769042351021,1.0975164194684879
2015-11-05,1.076068917789187,1.0951676743073377
2015-11-06,1.0555657492386246,1.088469401069984
2015-11-09,1.0284079322379072,1.083945891870732
2015-11-10,1.0189781462838743,1.0693749728154496
2015-11-11,1.0078756405394722,1.0693749728154496
2015-11-12,1.0054412285303604,1.0662433126005828
2015-11-13,0.9985180428365605,1.0556739593754079
2015-11-16,0.9640831366053713,1.0389717715627855
2015-11-17,0.9776284084987682,1.0493671436649123
2015-11-18,0.968506257589816,1.050150058718629
2015-11-19,0.9850696058072785,1.0647209777739115
2015-11-20,0.9947034336442486,1.0647644730546737
2015-11-23,0.9909575869406304,1.0696359445000216
2015-11-24,0.9998145842893839,1.0765516941411857
2015-11-25,0.9933180874362042,1.0725066330303163
2015-11-26,1.0206133526684256,1.0849027880474968
2015-11-27,1.0150810085407178,1.0833369579400636
2015-11-30,0.9944684632779175,1.0623287373319996
2015-12-01,1.0274946317773241,1.081727632551868
2015-12-02,1.0199632036403612,1.0725936235918403
2015-12-03,1.011855206187945,1.0642425296855291
2015-12-04,1.0106228677331857,1.0532382236527338
2015-12-07,1.0085339208148545,1.046844417380714
2015-12-08,0.9882519438977309,1.0405376016702188
2015-12-09,1.0097650070183046,1.0412770214431735
2015-12-10,1.0285749640520954,1.0464964551346179
2015-12-11,1.0205126148411718,1.045409073115567
2015-12-14,0.991369758175143,1.0359271019094427
2015-12-15,0.9891364933756516,1.0386673045974513
2015-12-16,1.0155898922050313,1.0590665912748467
2015-12-17,1.0213737875748186,1.0620242703666651
2015-12-18,1.0113773316050034,1.0569353225175069
2015-12-21,1.0319624503943818,1.0602409638554218
2015-12-22,1.0338190025893539,1.0677221521464921
2015-12-23,1.051049030768118,1.072289156626506
2015-12-24,1.0519456848421531,1.0670697229350616
2015-12-28,1.0388501466691273,1.0516723935453003
2015-12-29,1.048431641553314,1.0491931625418642
2015-12-30,1.0374083363055215,1.045539558957853
2016-01-04,1.013452042882742,1.0205297725196816
2016-01-05,1.0235920667875287,1.0270540646339872
2016-01-06,1.0188654723131612,1.0203992866773954
2016-01-07,1.0032060966834886,1.0087860467139316
2016-01-08,1.017281891023262,1.016397720847288
2016-01-11,0.9904584311282392,1.0040015658301074
2016-01-12,0.970035017639987,1.0027836979687705
2016-01-13,0.9897925838414536,1.0157017963550956
2016-01-14,0.9755378696453011,1.0063938062720195
2016-01-15,0.9678294724186443,0.9950850332738899
2016-01-18,0.9761988391625602,0.994258622939411
2016-01-19,0.960413981588677,1.0007394197729547
2016-01-20,0.9255273634289385,0.9766430342307859
2016-01-21,0.9273341282711359,0.9734678787351573
2016-01-22,0.957200966691308,0.9951285285546518
2016-01-25,0.9661368206505669,1.0013048584228612
2016-01-26,0.9536442617387093,0.9881692836327258
2016-01-27,0.9647008134632042,1.0045670044800141
2016-01-28,0.9739428631877212,1.006959244921926
2016-01-29,0.9855265753799786,1.0095254664868862
2016-02-01,0.9748501681347865,1.0163542255665259
2016-02-02,0.9721204708516825,1.0051759384106824
2016-02-03,0.9512847526941921,0.9959114436083685
2016-02-04,0.9903480061452252,1.0130485842286112
2016-02-05,1.0145958317002783,1.0147449001783306
2016-02-11,0.9953545101619861,0.986038014875386
2016-02-12,0.9989186002138726,0.9785568265843155
2016-02-15,1.0467211227923385,0.9934322126049324
2016-02-16,1.0606825839090976,1.007002740202688
2016-02-17,1.0545442240528613,1.0088295419946935
2016-02-18,1.0647754912074745,1.021008220608064
2016-02-19,1.0606042802988134,1.0233134704884521
2016-02-22,1.0618095906935392,1.0219216215040667
2016-02-23,1.062847394382221,1.0222695837501632
2016-02-24,1.0773934557521785,1.0217476403810186
2016-02-25,1.0672306151918536,1.0237484232960723
2016-02-26,1.0531557245208711,1.0230959940846418
2016-02-29,1.0560732725802622,1.0205297725196816
2016-03-02,1.0862374305704905,1.0379278848244966
2016-03-03,1.094483047100349,1.044278195815754
2016-03-04,1.13720992047188,1.0427558609890828
2016-03-07,1.1642162737679513,1.0448001391848984
2016-03-08,1.1203004418640101,1.0371014744900178
2016-03-09,1.1178525808405768,1.0401026488625984
2016-03-10,1.143192908510098,1.050106563437867
2016-03-11,1.1423619351961352,1.0524553085990171
2016-03-14,1.1264849438539262,1.0532382236527338
2016-03-15,1.1155441570980955,1.0518463746683486
2016-03-16,1.103286517140217,1.0541081292679744
2016-03-17,1.131605217528934,1.061676308120569
2016-03-18,1.145929934906487,1.064025053281719
2016-03-21,1.132710391827948,1.0625027184550477
2016-03-22,1.143831579070017,1.0674176851811579
2016-03-23,1.1484572193727058,1.066634770127441
2016-03-24,1.128112527662769,1.061632812839807
2016-03-25,1.1198271408649627,1.0603714496977077
2016-03-28,1.1296517424772485,1.0610673741899004
2016-03-29,1.1410882056600136,1.0679396285503022
2016-03-30,1.1293527687363518,1.072332651907268
2016-03-31,1.1312045198774652,1.0693749728154496
2016-04-01,1.1129687173200806,1.0541516245487366
2016-04-04,1.117591378033961,1.057152798921317
2016-04-05,1.1213369573497933,1.046409464573094
2016-04-06,1.1398724283175217,1.052542299160541
2016-04-07,1.1638579266793474,1.053847157583402
2016-04-08,1.1791132123598178,1.0515854029837763
2016-04-11,1.1929191656193716,1.0528467661258754
2016-04-12,1.2124590284021501,1.0600234874516115
2016-04-14,1.258715492520254,1.0825540428863467
2016-04-15,1.2519055350197839,1.0809882127789134
2016-04-18,1.2485811367119994,1.0786829628985255
2016-04-19,1.2299473169910797,1.0781610195293811
2016-04-20,1.2253301802586911,1.0754643121221348
2016-04-21,1.2562366579142004,1.0847288069244487
2016-04-22,1.24865948500831,1.0800748118829107
2016-04-25,1.2236581213250561,1.079248401548432
2016-04-26,1.2157586437206342,1.0826845287286329
2016-04-27,1.2201438684202701,1.0816841372711061
2016-04-28,1.2286293880651424,1.0711582793266932
2016-04-29,1.2617092988033727,1.0665042842851549
2016-05-02,1.2355639664475193,1.0589796007133225
2016-05-03,1.2297694659810032,1.0625462137358097
2016-05-04,1.1899634818805669,1.05828367622113
2016-05-09,1.1579111667796163,1.0535861858988298
2016-05-10,1.1759894968732831,1.0598930016093253
2016-05-11,1.1654743945264288,1.0572397894828411
2016-05-12,1.194325256583849,1.0540646339872124
2016-05-13,1.188014015050245,1.0464964551346179
2016-05-16,1.196357531869503,1.0474533513113826
2016-05-17,1.198584214273099,1.0483667522073856
2016-05-18,1.1884724305882686,1.043103823235179
2016-05-19,1.1720580776941494,1.03971119133574
2016-05-20,1.1672436115020615,1.038406332912879
2016-05-23,1.1915390789687956,1.0432343090774652
2016-05-24,1.1767052451586504,1.033665347309817
2016-05-25,1.2058063168445887,1.047844808838241
2016-05-26,1.2272447079920692,1.046409464573094
2016-05-27,1.2336979146704308,1.0519333652298726
2016-05-30,1.2284954053972654,1.051411421860728
2016-05-31,1.2582641529878933,1.0596755252055152
2016-06-01,1.2489446818674612,1.0594580488017051
2016-06-02,1.240767276201188,1.0620677656474273
2016-06-03,1.2497845854803173,1.0629811665434301
2016-06-07,1.2750815757060336,1.078030533687095
2016-06-08,1.2781176924956628,1.087556000173981
2016-06-09,1.2522858289349335,1.0882084293854117
2016-06-10,1.2657877137866824,1.0828585098516812
2016-06-13,1.2459757692231033,1.0615023269975208
2016-06-14,1.2376442501386107,1.0584576573441782
2016-06-15,1.2126107157177652,1.058240180940368
2016-06-16,1.204752679876599,1.0508894784915837
2016-06-17,1.1987213271789876,1.0509764690531078
2016-06-20,1.2286315295644175,1.066373798442869
2016-06-21,1.2196787181242337,1.0671132182158236
2016-06-22,1.2313258570079089,1.0732460528032708
2016-06-23,1.2286229680513938,1.0713322604497413
2016-06-24,1.1798897175501846,1.0404506111086949
2016-06-27,1.1801642808801807,1.040755078074029
2016-06-28,1.1886407258514498,1.044234700534992
2016-06-29,1.2008886914312176,1.0539776434256882
2016-06-30,1.1992180776683776,1.061893784524379
2016-07-01,1.1961734918874805,1.072245661345744
2016-07-04,1.2066991942273306,1.077030142229568
2016-07-05,1.2049772208610878,1.0739419772954635
2016-07-06,1.1901524191322232,1.0519768605106345
2016-07-07,1.190901269325049,1.063894567439433
2016-07-08,1.1855690529333842,1.0588056195902744
2016-07-11,1.2039766270720482,1.0742899395415597
2016-07-12,1.2186807251845528,1.0749423687529902
2016-07-13,1.2437575505637835,1.0841198729937802
2016-07-14,1.23769498076322,1.0865121134356923
2016-07-15,1.255019316336153,1.0918185376886609
2016-07-18,1.262512793182275,1.0939933017267627
2016-07-19,1.2490351181309332,1.0916010612848506
2016-07-20,1.2464250797995213,1.0902527075812274
2016-07-21,1.2470965162322256,1.0892958114044626
2016-07-22,1.253145926177489,1.087556000173981
2016-07-25,1.266804721256235,1.0902092123004654
2016-07-26,1.2802511141794737,1.099212735418207
2016-07-27,1.2807014386606999,1.0992562306989693
2016-07-28,1.2719389971495756,1.095472141272672
2016-07-29,1.2658029638496784,1.0938193206037143
2016-08-01,1.2743077267998582,1.103953721021269
2016-08-02,1.2715072280611999,1.0957766082380063
2016-08-03,1.2604227986988403,1.081510156148058
2016-08-04,1.243619673655071,1.0840763777130182
2016-08-05,1.2465235214347294,1.0976469053107738
2016-08-08,1.2557669559338482,1.1052585794441303
2016-08-09,1.2675680626226848,1.1128267582967248
2016-08-10,1.2620768412032117,1.1109999565047193
2016-08-11,1.2432010252875425,1.1142621025618722
2016-08-12,1.2527354048329213,1.11421860728111
2016-08-16,1.2462657012468965,1.1141316167195858
2016-08-17,1.2450949752886755,1.1136531686312037
2016-08-18,1.2343958976141756,1.1226566917489453
2016-08-19,1.2272484076525594,1.1251794180331434
2016-08-22,1.219071670108577,1.119003088164934
2016-08-23,1.2245717253587685,1.1240050454525685
2016-08-24,1.2311179545140372,1.1191335740072201
2016-08-25,1.2445845468424017,1.118959592884172
2016-08-26,1.243021739721548,1.1144795789656823
2016-08-29,1.2446927341795477,1.1156104562654954
2016-08-30,1.2522332079345422,1.119959984341699
2016-08-31,1.2561096711387458,1.1172632769344526
2016-09-01,1.2584359378031724,1.1136096733504415
2016-09-02,1.257772042062878,1.1156539515462571
2016-09-05,1.271307514069313,1.1293114697055369
2016-09-06,1.275662857609834,1.1349223609238397
2016-09-07,1.2902079737329435,1.1322256535165935
2016-09-08,1.2869469653633125,1.1346178939585057
2016-09-09,1.2817700558585605,1.1191770692879823
2016-09-12,1.28218981508997,1.0896872689313208
2016-09-13,1.2582317076651957,1.0950806837458136
2016-09-14,1.2582317076651957,1.0950806837458136
2016-09-15,1.2582317076651957,1.0950806837458136
2016-09-16,1.2582317076651957,1.0950806837458136
2016-09-19,1.2505955871056451,1.1044756643904137
2016-09-20,1.2578275290839283,1.10952111695881
2016-09-21,1.2745514797655455,1.1157409421077813
2016-09-22,1.2638012855482252,1.123657083206472
2016-09-23,1.2843582600925592,1.1237875690487582
2016-09-26,1.2731767171389448,1.119916489060937
2016-09-27,1.2907807267296936,1.1290070027402026
2016-09-28,1.2889575988334427,1.1230916445565655
2016-09-29,1.2800735369842302,1.1323996346396417
2016-09-30,1.2541576826357572,1.119959984341699
2016-10-03,1.2541576826357572,1.119959984341699
2016-10-04,1.268397703592702,1.1273106867904832
2016-10-05,1.262063229558003,1.1264842764560046
2016-10-06,1.2534131870431213,1.1357922665390805
2016-10-07,1.2509227122239828,1.1311382714975424
2016-10-10,1.2631416433376104,1.1322256535165935
2016-10-11,1.2913714247553987,1.1141316167195858
2016-10-12,1.2924789498758014,1.1143490931233961
2016-10-13,1.2716012012972975,1.1044756643904137
2016-10-14,1.2863302633993874,1.10952111695881
2016-10-17,1.2944021772081953,1.1143055978426342
2016-10-18,1.3206795919542322,1.1220912530990388
2016-10-19,1.3324872807361614,1.1230916445565655
