date,algo_nav,spy_nav
2012-07-24,1.0,1.0
2012-07-25,0.9753582647860732,1.0002241972529118
2012-07-26,0.9737206726715597,1.0167253910469982
2012-07-27,0.9917596181239591,1.0354665238350294
2012-07-30,0.9850951909145087,1.0354665238350294
2012-07-31,0.9807290125925704,1.0282239430610152
2012-08-01,0.9699304908568231,1.027327589806905
2012-08-02,0.9600720762429568,1.0202346917469338
2012-08-03,0.9811008641482901,1.0404689477363305
2012-08-06,0.9904228858031204,1.042484907356132
2012-08-07,1.0081869408277613,1.0477118916416257
2012-08-08,1.0082484146419621,1.048980744963823
2012-08-09,1.0075223016651484,1.0498765898341398
2012-08-10,1.0164268788242026,1.0515942007934418
2012-08-13,1.0150658779918769,1.0510717275062866
2012-08-14,1.0089352271665724,1.0512206839577678
2012-08-15,1.012605812565164,1.052415603751146
2012-08-16,1.033973351116947,1.0601808756910842
2012-08-17,1.0403248271915124,1.061599193848556
2012-08-20,1.0480130697673833,1.061673781013681
2012-08-21,1.044443836403117,1.0584634099842947
2012-08-22,1.0334729050085287,1.058911368732581
2012-08-23,1.0138353582076114,1.0502501792960701
2012-08-24,1.0150913635604801,1.0565967699472552
2012-08-27,1.0069316113010018,1.0568207493213984
2012-08-28,1.005706662433909,1.0557752943632948
2012-08-29,1.01113648845528,1.0565967699472552
2012-08-30,1.0004200482846934,1.048980744963823
2012-08-31,1.006071523830219,1.0539838225014297
2012-09-04,1.0047721951535056,1.0530128094559386
2012-09-05,1.006468053032789,1.0521172550906466
2012-09-06,1.0304672402641597,1.073471625829528
2012-09-07,1.0367725325217376,1.0776527920256371
2012-09-10,1.0326516709898392,1.071530108122339
2012-09-11,1.040247967003558,1.074516427151326
2012-09-12,1.043213989108967,1.0781008234001797
2012-09-13,1.0508975261032802,1.0945270668978602
2012-09-14,1.0581894809887844,1.0993807522264487
2012-09-17,1.042440747979101,1.095647544778626
2012-09-18,1.0421699300765181,1.0947510462720036
2012-09-19,1.047809827622026,1.0953483972293083
2012-09-20,1.0458813931645006,1.0954233475257142
2012-09-21,1.0366580431834977,1.0949650032227902
2012-09-24,1.0288328049628475,1.0933140631666864
2012-09-25,1.005364223423303,1.081678683285975
2012-09-26,1.0116873877935413,1.0755984131163019
2012-09-27,1.0186314604227047,1.0857320998974154
2012-09-28,1.0159050353284795,1.0807029495338303
2012-10-01,1.02369990978716,1.0835554183726273
2012-10-02,1.025982377882952,1.084681488475121
2012-10-03,1.0164051904677562,1.0891101649523844
2012-10-04,1.0380858507928428,1.096916906484617
2012-10-05,1.0444609893783845,1.0969925104173286
2012-10-08,1.0501631627981178,1.0932386771127431
2012-10-09,1.0412447019898636,1.0824292756438771
2012-10-10,1.023531878460837,1.0755233175673835
2012-10-11,1.0265056723678079,1.0761238640799615
2012-10-12,1.0203839983176148,1.0725961163109494
2012-10-15,1.0236975403810353,1.0815285648143946
2012-10-16,1.035740023261521,1.0924879395023286
2012-10-17,1.0421914393817868,1.0974423574482766
2012-10-18,1.051557193926677,1.0945895981044547
2012-10-19,1.0341533699064973,1.0763491507267164
2012-10-22,1.044759228100346,1.0764991239457844
2012-10-23,1.0369257344771587,1.0615616460740969
2012-10-24,1.0154682077283839,1.0585589135112072
2012-10-25,1.0250311979290487,1.0616366689967591
2012-10-26,1.0280898205445788,1.0610361951104372
2012-10-31,1.0418200119644714,1.0610361951104372
2012-11-01,1.0625678078193632,1.0721456882699518
2012-11-02,1.0479417000846991,1.0626126206276725
2012-11-05,1.0610301631310095,1.0647893021524606
2012-11-06,1.0716384707694278,1.0731217851533776
2012-11-07,1.051521094286297,1.0488003413434042
2012-11-08,1.0367727305721213,1.0361898087205976
2012-11-09,1.0393575291270376,1.0370904469238242
2012-11-12,1.0471561852097937,1.0379159895781322
2012-11-13,1.0478169854701198,1.0343130010076893
2012-11-14,1.0397535641621343,1.0203509663831216
2012-11-15,1.0451628155281918,1.0186246402730748
2012-11-16,1.052019947554525,1.0236540085154286
2012-11-19,1.0697366004361524,1.044372100623678
2012-11-20,1.0681553883515071,1.0448222381596506
2012-11-21,1.07686318707912,1.0467737782901965
2012-11-23,1.090325372985365,1.0610361951104372
2012-11-26,1.0853480400235282,1.0587841275317058
2012-11-27,1.0803770631649152,1.0533796446760415
2012-11-28,1.084053163240094,1.0618618103910016
2012-11-29,1.0844382498406426,1.066816083084437
2012-11-30,1.0887095474520085,1.0670411518524234
2012-12-03,1.0727987569628914,1.0617870779733642
2012-12-04,1.0981110027542125,1.0602853122475102
2012-12-05,1.093339007842743,1.0621613936978567
2012-12-06,1.1015308321746369,1.0657649632783492
2012-12-07,1.1093041111118995,1.068992619356713
2012-12-10,1.1167535573684024,1.0694434105289914
2012-12-11,1.1252555349145625,1.0767247737238206
2012-12-12,1.1297932916952413,1.0772500068087114
2012-12-13,1.1231011721424053,1.0706444309278913
2012-12-14,1.1265719635921376,1.0666660372391128
2012-12-17,1.1304988942157292,1.0792019826967945
2012-12-18,1.1421692999193986,1.0912121866857916
2012-12-19,1.133524090106525,1.0831051355841421
2012-12-20,1.1250972230742777,1.0893353789728832
2012-12-21,1.109365064826325,1.079447459442775
2012-12-24,1.1083957327663185,1.0761210316559695
2012-12-26,1.0990039533855112,1.0715852314508003
2012-12-27,1.0944441201155026,1.0701493377393263
2012-12-28,1.082678562713719,1.0585825896707306
2012-12-31,1.1058342768621772,1.0765745099997277
2013-01-02,1.136969738835013,1.1041673308943016
2013-01-03,1.131650875616832,1.1016724737410692
2013-01-04,1.142283928498261,1.106511198060879
2013-01-07,1.1408542638237786,1.1034871133786641
2013-01-08,1.1217262589338208,1.1003118934572822
2013-01-09,1.1248982743251403,1.1031093842201303
2013-01-10,1.1354437303665053,1.1118785688996213
2013-01-11,1.1440319912325911,1.1118028197143972
