date,blend_nav,kospi200_nav,satellite_nav,core_nav
2015-09-02,1.0,1.0,1.0,1.0
2015-09-03,0.99811119411611,1.0021312687573398,0.9946034117603143,1.0
2015-09-04,0.9958506593634179,0.9912574485668306,0.9881447410383369,1.0
2015-09-07,0.9966746421624942,0.9886912270018703,0.9904989776071266,1.0
2015-09-08,0.9994612648990506,0.990648514636162,0.9984607568544308,1.0
2015-09-09,1.017582024354404,1.0195293810621548,1.0502343552982976,1.0
2015-09-10,1.0277283161375448,1.0316210691140013,1.0792237603929857,1.0
2015-09-11,1.0305470588031078,1.0166586925318604,1.0872773108660228,1.0
2015-09-14,1.023855596787942,1.0137010134400417,1.0681588479655484,1.0
2015-09-15,1.026461450525825,1.0160062633204296,1.0756041443595,1.0
2015-09-16,1.0355521974698192,1.038580314035927,1.101577707056627,1.0
2015-09-17,1.0333042693158063,1.0407985733547909,1.0951550551880185,1.0
2015-09-18,1.0328931617559198,1.0487582097342438,1.093980462159771,1.0
2015-09-21,1.0244241280895587,1.0296202861989474,1.0697832231130255,1.0
2015-09-22,1.027687270970418,1.0381453612283067,1.079106488486909,1.0
2015-09-23,1.0135608082650331,1.018920447131486,1.0387451664715237,1.0
2015-09-24,1.0149938093239088,1.018920447131486,1.0428394552111682,1.0
2015-09-25,1.0169864239566095,1.0168761689356705,1.0485326398760273,1.0
2015-09-28,1.0169864239566095,1.0168761689356705,1.0485326398760273,1.0
2015-09-29,1.0169864239566095,1.0168761689356705,1.0485326398760273,1.0
2015-09-30,1.013012184800139,1.0295767909181854,1.03717767085754,1.0
2015-10-01,1.0210118798706351,1.0378843895437344,1.060033942487529,1.0
2015-10-02,1.017456667793017,1.0314905832717152,1.049487974597897,1.0
2015-10-05,1.0153341583082471,1.035100691574964,1.0431918897559438,1.0
2015-10-06,1.0126071894790676,1.0446696533426123,1.035102772966089,1.0
2015-10-07,1.0165001714728015,1.0591970771171328,1.0466506812777467,1.0
2015-10-08,1.0202448859434072,1.070070897307642,1.0577587777008737,1.0
2015-10-12,1.0319417665837345,1.072115175503458,1.0924557029330777,1.0
2015-10-13,1.0342161989699707,1.0701578878691662,1.0992024427586393,1.0
2015-10-14,1.025828223387491,1.0653734069853422,1.0743208550444376,1.0
2015-10-15,1.031366596049993,1.0782045148101431,1.0907495515565993,1.0
2015-10-16,1.028207789203854,1.0759427602105172,1.0813794563719403,1.0
2015-10-19,1.0276738874784672,1.0763777130181376,1.0797957223135433,1.0
2015-10-20,1.0257424571242784,1.0809882127789134,1.0740664431449203,1.0
2015-10-21,1.0361756086114282,1.0841198729937802,1.1050147180070093,1.0
2015-10-22,1.0278492419523668,1.0752903309990867,1.080315883308352,1.0
2015-10-23,1.0312438213628794,1.0848157974859727,1.0903853600879356,1.0
2015-10-26,1.039302222987287,1.0889478491583664,1.1142893193785144,1.0
2015-10-27,1.0384365633161103,1.087556000173981,1.1117214784463088,1.0
2015-10-28,1.0347762254549258,1.0864686181549301,1.100863671737035,1.0
